ros_time_s,camera_msg_age_s,lidar_msg_age_s,lidar_source,det_idx,color,class_name,camera_confidence,camera_x_body_m,camera_y_body_m,camera_range_m,camera_bearing_rad,camera_map_x_m,camera_map_y_m,lidar_has_cluster,lidar_x_body_m,lidar_y_body_m,lidar_z_body_m,lidar_range_m,lidar_bearing_rad,lidar_point_count,lidar_spread_x_m,lidar_spread_y_m,lidar_spread_z_m,lidar_spread_r_m,lidar_radius_m,cam_lidar_dx_m,cam_lidar_dy_m,cam_lidar_dist_m,raw_fused_x_body_m,raw_fused_y_body_m,raw_fused_range_m,raw_fused_bearing_rad,raw_fused_map_x_m,raw_fused_map_y_m,vehicle_x_m,vehicle_y_m,vehicle_yaw_rad,time_delta_s,color_code,nearest_gt_x_m,nearest_gt_y_m,nearest_gt_error_m,label_reliable_fusion,target_dx_m,target_dy_m,target_sigma_m
1783100894.6869624,0.0,0.0195591449737548,fau_objects,0,green,green_buoy,90.49888610839844,8.055397709761662,-0.3346148834488675,8.062344533859795,-0.041515345918911,-27.680609062548864,34.06603949421411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,8.055397709761662,-0.3346148834488675,8.062344533859795,-0.041515345918911,-27.680609062548864,34.06603949421411,-19.620798110961918,33.86393356323242,-3.125147819519043,0.0195591449737548,1.0,-27.54559,36.482525,2.420254603740044,1,0.13501906254886364,2.416485505785893,1.5811400320570244
1783100894.6902983,0.0,0.0228950977325439,fau_objects,0,green,green_buoy,89.3681411743164,8.059554321240645,-0.3412367140818092,8.066774965998873,-0.0423141300829463,-27.684725966004137,34.07823685471492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,8.059554321240645,-0.3412367140818092,8.066774965998873,-0.0423141300829463,-27.684725966004137,34.07823685471492,-19.620798110961918,33.86393356323242,-3.125847816467285,0.0228950977325439,1.0,-27.54559,36.482525,2.4083106740190874,1,0.1391359660041367,2.4042881452850793,1.5745708707104982
1783100894.692211,0.0,0.0248076915740966,fau_objects,0,green,green_buoy,89.3681411743164,8.059554321240645,-0.3412367140818092,8.066774965998873,-0.0423141300829463,-27.684725966004137,34.07823685471492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,8.059554321240645,-0.3412367140818092,8.066774965998873,-0.0423141300829463,-27.684725966004137,34.07823685471492,-19.620798110961918,33.86393356323242,-3.125847816467285,0.0248076915740966,1.0,-27.54559,36.482525,2.4083106740190874,1,0.1391359660041367,2.4042881452850793,1.5745708707104982
1783100894.6938698,0.0,0.0264666080474853,fau_objects,0,green,green_buoy,89.66165924072266,8.048252077869465,-0.323004044446071,8.054731101759927,-0.0401119135689,-27.67313806496341,34.06018438959966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,8.048252077869465,-0.323004044446071,8.054731101759927,-0.0401119135689,-27.67313806496341,34.06018438959966,-19.620798110961918,33.86393356323242,-3.125847816467285,0.0264666080474853,1.0,-27.54559,36.482525,2.4256963003786365,1,0.12754806496340976,2.42234061040034,1.58413296520825
1783100894.7052398,0.0,0.0378365516662597,fau_objects,0,green,green_buoy,89.66165924072266,8.048252077869465,-0.323004044446071,8.054731101759927,-0.0401119135689,-27.67313806496341,34.06018438959966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,8.048252077869465,-0.323004044446071,8.054731101759927,-0.0401119135689,-27.67313806496341,34.06018438959966,-19.620798110961918,33.86393356323242,-3.125847816467285,0.0378365516662597,1.0,-27.54559,36.482525,2.4256963003786365,1,0.12754806496340976,2.42234061040034,1.58413296520825
1783100894.73226,0.0,0.0245909690856933,fau_objects,0,green,green_buoy,90.15768432617188,8.046827242156736,-0.3156656827616152,8.053016421713615,-0.0392084853456315,-27.6715978693196,34.052869370365315,1.0,6.83363066482544,-1.062126874923706,-0.9799262285232544,6.915679399862155,-0.1541927067076793,1.0,0.6008220911026001,0.6008220911026001,0.0,0.3004110455513,0.3004110455513,-1.2131965773312965,-0.7464611921620908,1.4244473477992867,7.136929809158264,-0.8755115768831834,7.190430280734825,-0.122063554411973,-26.7706275339588,34.626971468028984,-19.620798110961918,33.86393356323242,-3.125847816467285,0.0245909690856933,1.0,-27.54559,36.482525,2.010881829890256,1,-0.7749624660412024,1.8555535319710188,1.3559850064396408
1783100894.7620945,0.0,0.0544252395629882,fau_objects,0,green,green_buoy,90.15768432617188,8.046827242156736,-0.3156656827616152,8.053016421713615,-0.0392084853456315,-27.6715978693196,34.052869370365315,1.0,6.83363066482544,-1.062126874923706,-0.9799262285232544,6.915679399862155,-0.1541927067076793,1.0,0.6008220911026001,0.6008220911026001,0.0,0.3004110455513,0.3004110455513,-1.2131965773312965,-0.7464611921620908,1.4244473477992867,7.136929809158264,-0.8755115768831834,7.190430280734825,-0.122063554411973,-26.7706275339588,34.626971468028984,-19.620798110961918,33.86393356323242,-3.125847816467285,0.0544252395629882,1.0,-27.54559,36.482525,2.010881829890256,1,-0.7749624660412024,1.8555535319710188,1.3559850064396408
1783100894.793682,0.0,0.0032258033752441,fau_objects,0,green,green_buoy,90.15768432617188,8.046827242156736,-0.3156656827616152,8.053016421713615,-0.0392084853456315,-27.682527259395787,34.05917281923391,1.0,6.831917388916016,-1.0579254627227783,-1.0221363306045532,6.913342280955734,-0.1536302526974274,1.0,0.6213330030441284,0.6213330030441284,0.0,0.3106665015220642,0.3106665015220642,-1.2149098532407203,-0.7422597799611631,1.4237118853368411,7.135644852226196,-0.8723605177324876,7.188771823475879,-0.121650249245468,-26.779775740378387,34.629437829483145,-19.63187789916992,33.86393356323242,-3.1266307830810547,0.0032258033752441,1.0,-27.54559,36.482525,2.005094397222728,1,-0.7658142596216138,1.853087170516858,1.3528019184725006
1783100894.8230605,0.0,0.0326042175292968,fau_objects,0,green,green_buoy,90.15768432617188,8.046827242156736,-0.3156656827616152,8.053016421713615,-0.0392084853456315,-27.682527259395787,34.05917281923391,1.0,6.831917388916016,-1.0579254627227783,-1.0221363306045532,6.913342280955734,-0.1536302526974274,1.0,0.6213330030441284,0.6213330030441284,0.0,0.3106665015220642,0.3106665015220642,-1.2149098532407203,-0.7422597799611631,1.4237118853368411,7.135644852226196,-0.8723605177324876,7.188771823475879,-0.121650249245468,-26.779775740378387,34.629437829483145,-19.63187789916992,33.86393356323242,-3.1266307830810547,0.0326042175292968,1.0,-27.54559,36.482525,2.005094397222728,1,-0.7658142596216138,1.853087170516858,1.3528019184725006
1783100894.8532672,0.0,0.0628111362457275,fau_objects,0,green,green_buoy,89.9478530883789,8.04485771525812,-0.2994764435876706,8.050429913924598,-0.0372086411898037,-27.680315740676733,34.04301485877503,1.0,6.831917388916016,-1.0579254627227783,-1.0221363306045532,6.913342280955734,-0.1536302526974274,1.0,0.6213330030441284,0.6213330030441284,0.0,0.3106665015220642,0.3106665015220642,-1.212940326342104,-0.7584490191351076,1.4305485485973193,7.135152470501541,-0.8683132079390014,7.187793027375341,-0.1210996423302567,-26.779222860698624,34.625398339368424,-19.63187789916992,33.86393356323242,-3.1266307830810547,0.0628111362457275,1.0,-27.54559,36.482525,2.0090390802146123,1,-0.7663671393013765,1.8571266606315788,1.3549714941180369
